Title,Text,Date,Rating
"The father of Sergei Einsenstein, the film maker","I thought this was very mediocre. They had attempted to recreate the experience of an art nouveau house - it was stuff, claustrophobic and I learnt nothing. Mikhail Einstenstien‘s son, Segei was arguably the most important film maker of the twentieth century who created the cinematic view in architecture too. An understanding of that would have helped enormously along with architectural plans of the buildings.",Dec 2024 • Friends,3.0 of 5 bubbles
Alberta Iela,"If you’re visiting Central Riga, don’t miss this street renowned for its stunning Art Nouveau architecture. We explored it early in the morning and found it to be serene and picturesque. The area truly deserves your attention. We suggest strolling along both sides of the street at a leisurely pace to fully appreciate the beautiful details and charm.",Jul 2024 • Couples,5.0 of 5 bubbles
Solo trip,It is a truly marvellous piece of history and art. Seeing the colourful and vivid culture of Latvia is stunning. The hall and stairway are like entering heaven.,May 2024 • Solo,5.0 of 5 bubbles
Unparalleled collection of beautiful Art nouveau buildings,"The street, and other surrounding streets, highlight the impressive architecture of Riga, where supposedly one third of the buildings in the Centr area are of Jugendstil in appearance.You will probably get a crick in your neck, and end up taking far more photos than you intended, but this really is an area worth visiting.Just across the canal from the Powder tower, off Elizabetes Iela (which has many fine buildings too)",Jan 2024 • Solo,5.0 of 5 bubbles
Fantastic,"Incredible collection of Art Nouveau buildings here in Alberta Iela but also in all the adjoining streets and even beyond. You get a crick in your neck but it's worth it just to admire the imagination of the architects and the skill of the builders in creating such a fascinating district. And how fortunate the war never destroyed it. If the weather is bright and sunny, the best time to visit is in the morning as shade covers a lot of the facades by the afternoon.We'd previously visited the Art Nouveau district in Helsinki and were bowled over by that but the Riga collection puts in the the shade.",Sep 2023 • Couples,5.0 of 5 bubbles
Art Nouveau at its best,"If you like Art Nouveau or are interested in architecture, then this is the place to go.  The whole street was built at the start of the 20th century and each house is different.  Don't forget to visit the other streets in this area as they are of the same ilk.  Amazing buildings all around the ""Quiet Centre"" of town,",Jul 2023,5.0 of 5 bubbles
Jugendstil’s architecture’s Main Street,Simply fantastic street with most stunning Jugendstil architecture. Some more in the neighbouring streets.,Apr 2023 • Solo,5.0 of 5 bubbles
Art Nouveau-style buildings in Riga,One can find many Art Nouveau-style buildings in old parts of latvian capital. You can do tour there by yourself with camera.,Dec 2022,3.0 of 5 bubbles
The stunning Art Nouveau epicenter of Riga,"This street has magnificent historical Art Nouveau buildings located along the entire length. The street was constructed from 1901 to 1908.Each house is decorated by figural sculptures, and facades with protruding balconies, columns, and other elements characteristic of Art Nouveau architecture.This time, we visited in the evening and noticed that only a few buildings were beautifully lit. So the best time to visit is daytime.",Oct 2022,5.0 of 5 bubbles
Choose the right time of day,The buildings are beautiful but if you want photos I would suggest that you find out if and when the sun lights up the street.Mid afternoon in early September has 3/4 in shadow.,Sep 2022,5.0 of 5 bubbles
We walked it on our own following a free lance tour route,"My husband doesn't like a lot of talking on tours, he wants to move ahead to get a visual photo so I skipped the tour this time and stopped at the Art Nouveau museum to get an overview before we started seeing the other buildings.  Beautiful street of buildings!",Jul 2022,4.0 of 5 bubbles
jugendstil,"the most famous street for jugendstil houses, many from the famous Eigenstein. The decorations of the latter are mostly over the top.",Jun 2022,3.0 of 5 bubbles
Must see,"Its impressive street where each building is a work of art. The Art Nouveau Museum should be seen also. It gives an understanding that buildings of this style are located throughout Riga, and also gives a sense of the time",Apr 2022,5.0 of 5 bubbles
Not to be missed,"The Art Nouveau Museum must be seen as well, in authentic surroundings and good digital experience as well.",Jan 2022,5.0 of 5 bubbles
Gorgeous Art Nouveau Buildings,The Art Nouveau buildings on this street and in the surrounding areas are absolutely gorgeous.  Don't forget to duck into the Art Nouveau museum.  The interior staircase up to the museum is pretty cool too.,Oct 2021,5.0 of 5 bubbles
Beautiful architecture,"Incredible Art Nouveau buildings captured all my attention. However, even if you are not into architecture, you will surely enjoy strolling Albert street. As for me, this is a must-see.",Jul 2021,5.0 of 5 bubbles
Amasing 20 century architecture,"This is elegant Jugendstil street built in 1900ies known in Wien and Noth Germany, the main Riga architect tat time was Eisenstein, the father of famous film director Sergey",Sep 2020,5.0 of 5 bubbles
"Don't forget to stop and look UP, excellent Art Nouveau in the whole neighborhood!!!","If you love Art Nouveau this is the street and neighborhood for you!  Over the top decorations like a royal iced cake and it is house after house!  There are over 8,000 Art Nouveau building that are identified in Riga and if you are pressed for time this street has some of the best in the city, country, world!  Walk the area, stop and have a coffee and digest what you have just viewed then walk around the neighborhood on another street as there are so many really outstanding examples of this design period.",Sep 2019,5.0 of 5 bubbles
Prefered the Old Town.,"You can put this street on Google Maps (also called Albert Street) and find the way to go there from the Old Town, takes maybe 10 to 15 minutes on foot. On the way you will also start to see art noveau buildings. It is a small street, not so much to see honestly. I expected more. But if you are in Riga then ok, you should go. I prefered the Old Town due to it being more colorful and with more options for photo spots.",Feb 2020,3.0 of 5 bubbles
Art-nouveau - possible best in world,"Albert street is famed for a series of spectacular art-nouveau buildings by Michael Eisenstein and Konstantīns Pēkšēns, who designed and lived in what is now a great museum.The designs are outrageous, magnificent to the point of eccentricity - a Latvian Gaudi.A must visit street and museum but closed on Mondays.",Feb 2020,5.0 of 5 bubbles
Fantastic Art Noveau buildings!,"Amazing art nouveau buildings in a single street. All around, in this area, there are wonderful buildings of this era ... but they are around the whole of Riga, though not in such concentration.",Dec 2019,5.0 of 5 bubbles
Beautiful Street,A beautiful street with fantastic styles and very colorful Art Deco houses with interesting doorways and caryatids designs of balconies. A must see walk short street.,Jan 2020 • Family,4.0 of 5 bubbles
